GEO_ID,NAME,year,grade,projected_enrollment,value_status
0500000US25009,"Essex County, Massachusetts",2027,12,14528.47349327005,Projected
0500000US25009,"Essex County, Massachusetts",2028,9,15218.57679756743,Projected
0500000US25009,"Essex County, Massachusetts",2028,10,10839.404124038543,Projected
0500000US25009,"Essex County, Massachusetts",2028,11,11963.684786260705,Projected
0500000US25009,"Essex County, Massachusetts",2028,12,12182.790396648152,Projected
0500000US25009,"Essex County, Massachusetts",2029,9,12092.197755971585,Projected
0500000US25009,"Essex County, Massachusetts",2029,10,14202.741304624707,Projected
0500000US25009,"Essex County, Massachusetts",2029,11,12348.630358338098,Projected
0500000US25009,"Essex County, Massachusetts",2029,12,12216.65762676532,Projected
0500000US25011,"Franklin County, Massachusetts",2025,9,815.8829570037517,Projected
0500000US25011,"Franklin County, Massachusetts",2025,10,724.2935625772739,Projected
0500000US25011,"Franklin County, Massachusetts",2025,11,494.62030898621924,Projected
0500000US25011,"Franklin County, Massachusetts",2025,12,1067.747524094034,Projected
0500000US25011,"Franklin County, Massachusetts",2026,9,643.3471161639135,Projected
0500000US25011,"Franklin County, Massachusetts",2026,10,839.4016670089887,Projected
0500000US25011,"Franklin County, Massachusetts",2026,11,1041.4253073218044,Projected
0500000US25011,"Franklin County, Massachusetts",2026,12,453.71959646620417,Projected
0500000US25011,"Franklin County, Massachusetts",2027,9,704.88666125531,Projected
0500000US25011,"Franklin County, Massachusetts",2027,10,661.892293665023,Projected
0500000US25011,"Franklin County, Massachusetts",2027,11,1206.9334648242254,Projected
0500000US25011,"Franklin County, Massachusetts",2027,12,955.3086713245061,Projected
0500000US25011,"Franklin County, Massachusetts",2028,9,358.92068498486327,Projected
0500000US25011,"Franklin County, Massachusetts",2028,10,725.2057828037052,Projected
0500000US25011,"Franklin County, Massachusetts",2028,11,951.7016593261367,Projected
0500000US25011,"Franklin County, Massachusetts",2028,12,1107.1307721755159,Projected
0500000US25011,"Franklin County, Massachusetts",2029,9,1048.2475942103963,Projected
0500000US25011,"Franklin County, Massachusetts",2029,10,369.26696251471884,Projected
0500000US25011,"Franklin County, Massachusetts",2029,11,1042.736942933028,Projected
0500000US25011,"Franklin County, Massachusetts",2029,12,873.0043732144899,Projected
0500000US25013,"Hampden County, Massachusetts",2025,9,8901.325236295648,Projected
0500000US25013,"Hampden County, Massachusetts",2025,10,6123.284152088935,Projected
0500000US25013,"Hampden County, Massachusetts",2025,11,5768.075645300668,Projected
0500000US25013,"Hampden County, Massachusetts",2025,12,7646.2465657065495,Projected
0500000US25013,"Hampden County, Massachusetts",2026,9,7938.656186561082,Projected
0500000US25013,"Hampden County, Massachusetts",2026,10,8549.857843450734,Projected
0500000US25013,"Hampden County, Massachusetts",2026,11,7123.752760572758,Projected
0500000US25013,"Hampden County, Massachusetts",2026,12,6128.978403782076,Projected
