"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school",
"0500000US25001","Barnstable County, Massachusetts","230083","935","37654","2706","3194","1014","2330","893","2188","946","1707","739","1236","757","2003","907","1173","583","2242","959","2360","864","1759","814","1170","652","3218","1000","2339","794","2077","944","6957","2077","1701","886","192429","2501",
"0500000US25003","Berkshire County, Massachusetts","125996","620","26814","1566","1232","491","1281","523","586","350","1047","554","616","432","967","461","1243","570","794","332","1153","454","1253","838","1858","920","1436","598","1957","875","629","371","9224","1527","1538","800","99182","1525",
"0500000US25005","Bristol County, Massachusetts","572159","1612","129333","3351","6456","1448","5700","1300","5788","1546","6795","1347","6419","1401","7726","1588","8022","1730","5474","1233","6682","1601","4582","1162","8586","1778","6429","1121","7814","1582","12287","1852","24658","2380","5915","1399","442826","3194",
"0500000US25009","Essex County, Massachusetts","800022","1666","185990","4420","12345","1984","9467","2013","8271","1747","7392","1510","8768","1872","8387","1838","10878","2168","9577","1930","9033","1855","10688","2742","13382","2355","9313","1636","11728","1783","8934","1532","38025","3230","9802","1614","614032","4225",
"0500000US25011","Franklin County, Massachusetts","69337","294","13369","784","874","304","578","271","583","266","432","244","849","498","805","323","378","206","783","471","513","264","1093","518","704","341","344","191","1164","290","767","229","2654","637","848","346","55968","720",
"0500000US25013","Hampden County, Massachusetts","450686","1766","111192","3951","6015","1585","5673","1628","4387","1300","4097","1458","5714","1503","4981","1432","4588","1350","4334","1214","6509","1569","8519","2168","6375","1502","4958","1174","7196","1298","7271","1341","25383","2693","5192","1359","339494","3751",
"0500000US25015","Hampshire County, Massachusetts","162871","709","57903","2310","1859","655","1523","880","838","503","1736","759","1086","587","1155","548","1357","717","930","497","2476","1014","1225","632","918","467","1267","627","2118","527","1909","948","33411","2072","4095","1232","104968","2136",
"0500000US25017","Middlesex County, Massachusetts","1619508","2591","414111","5651","28799","2591","18164","2716","17754","2435","18887","2626","17266","2059","19528","2250","16468","2063","20219","2075","15512","1971","16873","1904","18835","2380","19928","2066","18367","1915","20440","2834","97154","4961","49917","4047","1205397","5251",
"0500000US25021","Norfolk County, Massachusetts","719214","2016","183752","4856","14708","2229","9156","1741","6945","1182","8240","1494","9383","1678","7609","1508","10640","1758","8416","1506","5923","1111","9412","1505","6986","1524","9951","1489","10631","1420","9140","1789","41375","3072","15237","2289","535462","4108",
"0500000US25023","Plymouth County, Massachusetts","526883","1691","117986","3658","7843","1423","5699","1436","3635","1003","4632","1209","4283","1044","5496","1308","7607","1803","5749","1244","6816","1902","9016","1213","6460","1157","7337","1354","7323","1401","8128","1403","21146","2582","6816","1854","408897","3773",
"0500000US25025","Suffolk County, Massachusetts","770575","1713","203884","5817","9384","1896","7265","1700","5385","1317","7147","1911","7560","1819","6655","1954","6439","2017","7205","1861","5740","1692","7352","1734","5707","1454","8429","1578","6240","1270","9380","2254","73900","4273","30096","2914","566691","5529",
"0500000US25027","Worcester County, Massachusetts","856172","1863","209250","4121","11036","1621","8639","1484","8822","1934","9446","1496","11252","2125","11254","1945","11057","1810","8991","1737","10961","1969","8689","1962","11672","1743","8971","1494","10403","1717","14567","2022","44209","2673","19281","2733","646922","4093",
