"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school",
"0500000US25001","Barnstable County, Massachusetts","208954","569","36100","2004","2733","986","1138","642","1334","576","1250","556","1612","664","2501","842","1946","671","2615","696","2138","735","1402","502","1836","565","2749","958","1826","619","2962","803","6584","1526","1474","686","172854","1883",
"0500000US25003","Berkshire County, Massachusetts","121778","530","26171","1380","1669","653","912","458","713","352","1385","644","835","362","1168","548","993","437","1157","473","1233","469","1706","544","1257","449","1719","455","1385","538","1471","639","7591","1023","977","519","95607","1289",
"0500000US25005","Bristol County, Massachusetts","548054","1554","123975","3608","6445","1203","5519","1389","4810","1299","5439","1279","7299","1478","5405","1138","6752","1388","5878","1538","7310","1416","6916","1461","9346","1885","6061","1116","6637","1105","7528","1538","26751","2539","5879","1483","424079","3450",
"0500000US25009","Essex County, Massachusetts","763454","2143","185695","4029","12923","1962","8210","1437","8838","1562","9460","1583","8206","1254","8136","1414","8274","1287","9686","1418","10176","1814","11821","1640","10584","1512","10240","1407","9911","1548","11107","1838","38413","3019","9710","1700","577759","3745",
"0500000US25011","Franklin County, Massachusetts","68671","386","13557","773","896","291","726","325","1113","387","515","305","383","252","590","302","965","361","625","293","452","238","1071","397","429","286","466","347","1110","406","720","282","2219","627","1277","428","55114","733",
"0500000US25013","Hampden County, Massachusetts","451502","1356","115319","3712","7563","1306","5900","1198","6606","1472","5607","1306","4204","1189","5484","1287","5178","1292","6839","1484","3672","992","5152","1178","5781","1150","5316","1114","8787","1369","6041","1513","25911","2682","7278","2174","336183","3862",
"0500000US25015","Hampshire County, Massachusetts","158127","583","56519","2316","2181","495","1161","457","1320","470","880","349","1013","445","1389","552","1338","489","1304","432","1544","571","1992","740","1480","604","1874","449","1070","384","1868","1069","31148","2066","4957","1459","101608","2163",
"0500000US25017","Middlesex County, Massachusetts","1561447","2341","405781","6028","28066","2316","18948","2737","17772","2208","14307","2293","17129","2112","20863","2014","15043","1605","20097","2459","14941","1682","19157","2150","18688","2408","18065","1905","17696","1953","18916","2209","98011","4726","48082","4319","1155666","5797",
"0500000US25021","Norfolk County, Massachusetts","685035","1279","173757","3519","13168","1722","7717","1389","7839","1441","9378","1778","8041","1400","6759","1130","11058","1671","7685","1346","9303","1560","7668","1515","6776","1232","9530","1267","10046","1330","9992","1587","34061","2809","14736","2049","511278","3424",
"0500000US25023","Plymouth County, Massachusetts","505132","1280","126391","2912","8388","1440","5429","1428","5264","1514","7028","1420","4710","1021","4995","1243","5825","1351","5420","1301","8580","1280","8628","1369","6809","1514","7515","1343","6909","1351","7932","1583","27940","2947","5019","1338","378741","3082",
"0500000US25025","Suffolk County, Massachusetts","778068","1876","215808","4778","10015","1618","9505","1896","5339","1346","5700","1433","7437","1961","7747","1761","7025","1474","5196","1412","7360","1636","8999","1871","7582","1789","7276","1216","7320","1499","8161","1792","77118","4134","34028","3220","562260","5058",
"0500000US25027","Worcester County, Massachusetts","803479","2068","207553","4578","10922","1774","9741","1902","9986","1815","10848","1589","8319","1588","8838","1646","9821","1551","8774","1510","9103","1743","11037","1395","11124","1669","11657","1999","11047","1769","10885","1796","54426","3848","11025","1770","595926","4332",
