"GEO_ID","NAME","B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school",
"0500000US25001","Barnstable County, Massachusetts","228588","961","34072","2713","2985","903","2099","771","1543","695","1790","880","1042","507","1691","675","1675","808","932","477","1687","566","2748","921","2313","1029","1440","657","1974","623","2511","1007","5490","1446","2152","815","194516","2495",
"0500000US25003","Berkshire County, Massachusetts","125072","764","23805","1699","1020","558","1293","653","1410","714","902","508","1114","492","1012","462","840","419","1090","442","823","371","535","356","1323","582","1292","514","1291","472","688","392","7597","1050","1575","600","101267","1647",
"0500000US25005","Bristol County, Massachusetts","562874","1547","132015","3480","9260","1766","4814","1330","7649","1690","4949","1281","7756","1676","6063","1349","5296","1137","7197","1575","8737","1785","7402","1372","5649","1465","7346","1450","6660","1245","10933","1994","24367","2327","7937","1485","430859","3420",
"0500000US25009","Essex County, Massachusetts","783331","2184","183927","4243","14445","2312","8931","1693","8145","1487","9888","1676","7442","1581","10285","1507","8718","1477","8281","1505","11002","1647","8854","1502","11708","1957","8850","1315","10301","1553","12008","1993","35719","2802","9350","2156","599404","4067",
"0500000US25011","Franklin County, Massachusetts","69713","301","13078","856","976","385","738","400","203","151","547","312","895","296","340","198","626","291","737","260","712","440","1267","529","723","305","410","264","809","277","853","423","1788","628","1454","664","56635","824",
"0500000US25013","Hampden County, Massachusetts","446654","1866","105295","3464","6879","1589","3671","1188","5859","1211","3725","1222","6353","1394","4715","1220","5699","1373","5334","1233","6278","1396","5965","1619","5368","1128","6959","1317","5538","1238","7148","1678","22855","2881","2949","870","341359","3531",
"0500000US25015","Hampshire County, Massachusetts","159764","689","55643","2103","2177","582","1140","450","1497","627","1234","472","1461","541","1241","490","615","388","1354","539","1182","496","1667","631","1241","588","1967","568","1356","555","1184","739","32226","1919","4101","1483","104121","2071",
"0500000US25017","Middlesex County, Massachusetts","1569582","2860","399247","5792","27301","2645","18726","1954","15841","2103","14571","1874","17951","2350","15267","1947","17032","2126","16490","2651","20246","2534","19269","2341","19103","2308","20901","2077","16534","1925","22467","2509","88601","4594","48947","3580","1170335","5665",
"0500000US25021","Norfolk County, Massachusetts","703103","1434","178817","5003","13445","1694","8514","1661","7121","1412","8729","1647","8552","1303","8530","1483","7481","1520","7658","1499","7823","1563","8706","1427","8097","1479","10328","1355","9716","1350","10338","1536","38606","3718","15173","2607","524286","4734",
"0500000US25023","Plymouth County, Massachusetts","517929","1403","118693","4014","9272","1598","5924","1117","5565","1131","5348","1387","6353","1615","5821","1291","4939","1128","5400","1150","6807","1363","6768","1367","7818","1603","6220","1398","5700","1170","8870","1502","20220","2766","7668","1915","399236","3777",
"0500000US25025","Suffolk County, Massachusetts","744336","2099","197044","4948","8885","1849","5863","1258","6494","1394","6703","1597","8222","2304","6422","1420","7161","1471","4988","1289","7218","1787","5974","1223","7930","1541","8218","1470","4797","1244","6031","1365","73366","3571","28772","2858","547292","4446",
"0500000US25027","Worcester County, Massachusetts","837763","2129","210209","4889","11583","1839","7483","1779","6319","1211","11640","2107","8286","1930","9777","2044","10021","1853","10790","1722","11422","2412","11289","2018","11090","1778","12736","1663","9131","1599","10266","1495","51985","3820","16391","2547","627554","5313",
