GEO_ID,NAME,csr_year,starting_grade,ending_grade,enrollment_start,enrollment_end,csr,weight,weighted_csr
0500000US25003,"Berkshire County, Massachusetts",2020,5,6,993.0,1281.5,1.2905337361530715,0.15,0.19358006042296072
0500000US25003,"Berkshire County, Massachusetts",2021,5,6,1233.5,1406.0,1.1398459667612484,0.15,0.17097689501418725
0500000US25003,"Berkshire County, Massachusetts",2022,5,6,1474.0,1090.0,0.7394843962008141,0.15,0.11092265943012211
0500000US25003,"Berkshire County, Massachusetts",2023,5,6,840.0,1017.0,1.2107142857142856,0.15,0.18160714285714283
0500000US25003,"Berkshire County, Massachusetts",2024,5,6,1136.0,794.0,0.698943661971831,0.4,0.2795774647887324
0500000US25003,"Berkshire County, Massachusetts",2020,6,7,1157.0,1036.5,0.8958513396715644,0.15,0.13437770095073465
0500000US25003,"Berkshire County, Massachusetts",2021,6,7,1281.5,840.0,0.6554818571985954,0.15,0.09832227857978931
0500000US25003,"Berkshire County, Massachusetts",2022,6,7,1406.0,823.0,0.585348506401138,0.15,0.08780227596017069
0500000US25003,"Berkshire County, Massachusetts",2023,6,7,1090.0,1221.0,1.120183486238532,0.15,0.1680275229357798
0500000US25003,"Berkshire County, Massachusetts",2024,6,7,1017.0,1153.0,1.1337266470009832,0.4,0.4534906588003933
0500000US25003,"Berkshire County, Massachusetts",2020,7,8,1233.0,1484.5,1.2039740470397404,0.15,0.18059610705596105
0500000US25003,"Berkshire County, Massachusetts",2021,7,8,1036.5,1263.0,1.2185238784370478,0.15,0.18277858176555717
0500000US25003,"Berkshire County, Massachusetts",2022,7,8,840.0,535.0,0.6369047619047619,0.15,0.09553571428571428
0500000US25003,"Berkshire County, Massachusetts",2023,7,8,823.0,1251.0,1.520048602673147,0.15,0.22800729040097203
0500000US25003,"Berkshire County, Massachusetts",2024,7,8,1221.0,1253.0,1.0262080262080262,0.4,0.4104832104832105
0500000US25003,"Berkshire County, Massachusetts",2020,8,9,1706.0,1160.5,0.6802461899179367,0.15,0.10203692848769051
0500000US25003,"Berkshire County, Massachusetts",2021,8,9,1484.5,1064.0,0.7167396429774335,0.15,0.10751094644661503
0500000US25003,"Berkshire County, Massachusetts",2022,8,9,1263.0,1323.0,1.0475059382422802,0.15,0.15712589073634203
