GEO_ID,NAME,year,grade,enrollment,acs_variable,value_status
0500000US25003,"Berkshire County, Massachusetts",2021,4,1283.0,B14007_008E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,5,1474.0,B14007_009E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,6,1406.0,B14007_010E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,7,840.0,B14007_011E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,8,1263.0,B14007_012E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,9,1064.0,B14007_013E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,10,1473.0,B14007_014E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,11,1675.0,B14007_015E,Observed
0500000US25003,"Berkshire County, Massachusetts",2021,12,1022.0,B14007_016E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,4,1012.0,B14007_008E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,5,840.0,B14007_009E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,6,1090.0,B14007_010E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,7,823.0,B14007_011E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,8,535.0,B14007_012E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,9,1323.0,B14007_013E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,10,1292.0,B14007_014E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,11,1291.0,B14007_015E,Observed
0500000US25003,"Berkshire County, Massachusetts",2022,12,688.0,B14007_016E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,4,696.0,B14007_008E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,5,1136.0,B14007_009E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,6,1017.0,B14007_010E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,7,1221.0,B14007_011E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,8,1251.0,B14007_012E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,9,1270.0,B14007_013E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,10,1078.0,B14007_014E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,11,1769.0,B14007_015E,Observed
0500000US25003,"Berkshire County, Massachusetts",2023,12,1679.0,B14007_016E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,4,967.0,B14007_008E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,5,1243.0,B14007_009E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,6,794.0,B14007_010E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,7,1153.0,B14007_011E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,8,1253.0,B14007_012E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,9,1858.0,B14007_013E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,10,1436.0,B14007_014E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,11,1957.0,B14007_015E,Observed
0500000US25003,"Berkshire County, Massachusetts",2024,12,629.0,B14007_016E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,4,5405.0,B14007_008E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,5,6752.0,B14007_009E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,6,5878.0,B14007_010E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,7,7310.0,B14007_011E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,8,6916.0,B14007_012E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,9,9346.0,B14007_013E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,10,6061.0,B14007_014E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,11,6637.0,B14007_015E,Observed
0500000US25005,"Bristol County, Massachusetts",2019,12,7528.0,B14007_016E,Observed
0500000US25005,"Bristol County, Massachusetts",2020,4,5581.0,B14007_008E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,5,7685.0,B14007_009E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,6,6226.0,B14007_010E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,7,7316.5,B14007_011E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,8,6764.0,B14007_012E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,9,8381.5,B14007_013E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,10,6677.5,B14007_014E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,11,6604.0,B14007_015E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2020,12,7859.5,B14007_016E,Interpolated
0500000US25005,"Bristol County, Massachusetts",2021,4,5757.0,B14007_008E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,5,8618.0,B14007_009E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,6,6574.0,B14007_010E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,7,7323.0,B14007_011E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,8,6612.0,B14007_012E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,9,7417.0,B14007_013E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,10,7294.0,B14007_014E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,11,6571.0,B14007_015E,Observed
0500000US25005,"Bristol County, Massachusetts",2021,12,8191.0,B14007_016E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,4,6063.0,B14007_008E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,5,5296.0,B14007_009E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,6,7197.0,B14007_010E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,7,8737.0,B14007_011E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,8,7402.0,B14007_012E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,9,5649.0,B14007_013E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,10,7346.0,B14007_014E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,11,6660.0,B14007_015E,Observed
0500000US25005,"Bristol County, Massachusetts",2022,12,10933.0,B14007_016E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,4,5951.0,B14007_008E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,5,5622.0,B14007_009E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,6,9268.0,B14007_010E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,7,6833.0,B14007_011E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,8,7519.0,B14007_012E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,9,7736.0,B14007_013E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,10,7780.0,B14007_014E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,11,6408.0,B14007_015E,Observed
0500000US25005,"Bristol County, Massachusetts",2023,12,7178.0,B14007_016E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,4,7726.0,B14007_008E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,5,8022.0,B14007_009E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,6,5474.0,B14007_010E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,7,6682.0,B14007_011E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,8,4582.0,B14007_012E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,9,8586.0,B14007_013E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,10,6429.0,B14007_014E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,11,7814.0,B14007_015E,Observed
0500000US25005,"Bristol County, Massachusetts",2024,12,12287.0,B14007_016E,Observed
0500000US25009,"Essex County, Massachusetts",2019,4,8136.0,B14007_008E,Observed
0500000US25009,"Essex County, Massachusetts",2019,5,8274.0,B14007_009E,Observed
0500000US25009,"Essex County, Massachusetts",2019,6,9686.0,B14007_010E,Observed
0500000US25009,"Essex County, Massachusetts",2019,7,10176.0,B14007_011E,Observed
0500000US25009,"Essex County, Massachusetts",2019,8,11821.0,B14007_012E,Observed
0500000US25009,"Essex County, Massachusetts",2019,9,10584.0,B14007_013E,Observed
0500000US25009,"Essex County, Massachusetts",2019,10,10240.0,B14007_014E,Observed
0500000US25009,"Essex County, Massachusetts",2019,11,9911.0,B14007_015E,Observed
0500000US25009,"Essex County, Massachusetts",2019,12,11107.0,B14007_016E,Observed
0500000US25009,"Essex County, Massachusetts",2020,4,8580.0,B14007_008E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,5,8646.5,B14007_009E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,6,9930.5,B14007_010E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,7,9763.0,B14007_011E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,8,10835.0,B14007_012E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,9,10254.5,B14007_013E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,10,10180.0,B14007_014E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,11,10535.0,B14007_015E,Interpolated
0500000US25009,"Essex County, Massachusetts",2020,12,10862.5,B14007_016E,Interpolated
0500000US25009,"Essex County, Massachusetts",2021,4,9024.0,B14007_008E,Observed
0500000US25009,"Essex County, Massachusetts",2021,5,9019.0,B14007_009E,Observed
0500000US25009,"Essex County, Massachusetts",2021,6,10175.0,B14007_010E,Observed
0500000US25009,"Essex County, Massachusetts",2021,7,9350.0,B14007_011E,Observed
0500000US25009,"Essex County, Massachusetts",2021,8,9849.0,B14007_012E,Observed
0500000US25009,"Essex County, Massachusetts",2021,9,9925.0,B14007_013E,Observed
0500000US25009,"Essex County, Massachusetts",2021,10,10120.0,B14007_014E,Observed
0500000US25009,"Essex County, Massachusetts",2021,11,11159.0,B14007_015E,Observed
0500000US25009,"Essex County, Massachusetts",2021,12,10618.0,B14007_016E,Observed
0500000US25009,"Essex County, Massachusetts",2022,4,10285.0,B14007_008E,Observed
0500000US25009,"Essex County, Massachusetts",2022,5,8718.0,B14007_009E,Observed
0500000US25009,"Essex County, Massachusetts",2022,6,8281.0,B14007_010E,Observed
0500000US25009,"Essex County, Massachusetts",2022,7,11002.0,B14007_011E,Observed
0500000US25009,"Essex County, Massachusetts",2022,8,8854.0,B14007_012E,Observed
0500000US25009,"Essex County, Massachusetts",2022,9,11708.0,B14007_013E,Observed
0500000US25009,"Essex County, Massachusetts",2022,10,8850.0,B14007_014E,Observed
0500000US25009,"Essex County, Massachusetts",2022,11,10301.0,B14007_015E,Observed
0500000US25009,"Essex County, Massachusetts",2022,12,12008.0,B14007_016E,Observed
0500000US25009,"Essex County, Massachusetts",2023,4,9540.0,B14007_008E,Observed
0500000US25009,"Essex County, Massachusetts",2023,5,7711.0,B14007_009E,Observed
0500000US25009,"Essex County, Massachusetts",2023,6,9445.0,B14007_010E,Observed
0500000US25009,"Essex County, Massachusetts",2023,7,7529.0,B14007_011E,Observed
0500000US25009,"Essex County, Massachusetts",2023,8,12146.0,B14007_012E,Observed
0500000US25009,"Essex County, Massachusetts",2023,9,9643.0,B14007_013E,Observed
0500000US25009,"Essex County, Massachusetts",2023,10,9435.0,B14007_014E,Observed
0500000US25009,"Essex County, Massachusetts",2023,11,10065.0,B14007_015E,Observed
0500000US25009,"Essex County, Massachusetts",2023,12,12986.0,B14007_016E,Observed
0500000US25009,"Essex County, Massachusetts",2024,4,8387.0,B14007_008E,Observed
0500000US25009,"Essex County, Massachusetts",2024,5,10878.0,B14007_009E,Observed
0500000US25009,"Essex County, Massachusetts",2024,6,9577.0,B14007_010E,Observed
0500000US25009,"Essex County, Massachusetts",2024,7,9033.0,B14007_011E,Observed
0500000US25009,"Essex County, Massachusetts",2024,8,10688.0,B14007_012E,Observed
0500000US25009,"Essex County, Massachusetts",2024,9,13382.0,B14007_013E,Observed
0500000US25009,"Essex County, Massachusetts",2024,10,9313.0,B14007_014E,Observed
0500000US25009,"Essex County, Massachusetts",2024,11,11728.0,B14007_015E,Observed
0500000US25009,"Essex County, Massachusetts",2024,12,8934.0,B14007_016E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,4,590.0,B14007_008E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,5,965.0,B14007_009E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,6,625.0,B14007_010E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,7,452.0,B14007_011E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,8,1071.0,B14007_012E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,9,429.0,B14007_013E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,10,466.0,B14007_014E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,11,1110.0,B14007_015E,Observed
0500000US25011,"Franklin County, Massachusetts",2019,12,720.0,B14007_016E,Observed
0500000US25011,"Franklin County, Massachusetts",2020,4,680.5,B14007_008E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,5,905.0,B14007_009E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,6,693.5,B14007_010E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,7,534.5,B14007_011E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,8,863.5,B14007_012E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,9,547.5,B14007_013E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,10,742.5,B14007_014E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,11,920.0,B14007_015E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2020,12,833.0,B14007_016E,Interpolated
0500000US25011,"Franklin County, Massachusetts",2021,4,771.0,B14007_008E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,5,845.0,B14007_009E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,6,762.0,B14007_010E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,7,617.0,B14007_011E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,8,656.0,B14007_012E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,9,666.0,B14007_013E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,10,1019.0,B14007_014E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,11,730.0,B14007_015E,Observed
0500000US25011,"Franklin County, Massachusetts",2021,12,946.0,B14007_016E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,4,340.0,B14007_008E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,5,626.0,B14007_009E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,6,737.0,B14007_010E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,7,712.0,B14007_011E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,8,1267.0,B14007_012E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,9,723.0,B14007_013E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,10,410.0,B14007_014E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,11,809.0,B14007_015E,Observed
0500000US25011,"Franklin County, Massachusetts",2022,12,853.0,B14007_016E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,4,294.0,B14007_008E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,5,723.0,B14007_009E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,6,1071.0,B14007_010E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,7,611.0,B14007_011E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,8,882.0,B14007_012E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,9,587.0,B14007_013E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,10,787.0,B14007_014E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,11,775.0,B14007_015E,Observed
0500000US25011,"Franklin County, Massachusetts",2023,12,428.0,B14007_016E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,4,805.0,B14007_008E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,5,378.0,B14007_009E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,6,783.0,B14007_010E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,7,513.0,B14007_011E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,8,1093.0,B14007_012E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,9,704.0,B14007_013E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,10,344.0,B14007_014E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,11,1164.0,B14007_015E,Observed
0500000US25011,"Franklin County, Massachusetts",2024,12,767.0,B14007_016E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,4,5484.0,B14007_008E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,5,5178.0,B14007_009E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,6,6839.0,B14007_010E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,7,3672.0,B14007_011E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,8,5152.0,B14007_012E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,9,5781.0,B14007_013E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,10,5316.0,B14007_014E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,11,8787.0,B14007_015E,Observed
0500000US25013,"Hampden County, Massachusetts",2019,12,6041.0,B14007_016E,Observed
0500000US25013,"Hampden County, Massachusetts",2020,4,5686.0,B14007_008E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,5,5609.0,B14007_009E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,6,5415.0,B14007_010E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,7,5832.0,B14007_011E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,8,5534.5,B14007_012E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,9,5268.5,B14007_013E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,10,5588.5,B14007_014E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,11,7655.0,B14007_015E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2020,12,6342.5,B14007_016E,Interpolated
0500000US25013,"Hampden County, Massachusetts",2021,4,5888.0,B14007_008E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,5,6040.0,B14007_009E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,6,3991.0,B14007_010E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,7,7992.0,B14007_011E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,8,5917.0,B14007_012E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,9,4756.0,B14007_013E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,10,5861.0,B14007_014E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,11,6523.0,B14007_015E,Observed
0500000US25013,"Hampden County, Massachusetts",2021,12,6644.0,B14007_016E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,4,4715.0,B14007_008E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,5,5699.0,B14007_009E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,6,5334.0,B14007_010E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,7,6278.0,B14007_011E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,8,5965.0,B14007_012E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,9,5368.0,B14007_013E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,10,6959.0,B14007_014E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,11,5538.0,B14007_015E,Observed
0500000US25013,"Hampden County, Massachusetts",2022,12,7148.0,B14007_016E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,4,4637.0,B14007_008E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,5,3676.0,B14007_009E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,6,5032.0,B14007_010E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,7,6324.0,B14007_011E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,8,5784.0,B14007_012E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,9,7382.0,B14007_013E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,10,5744.0,B14007_014E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,11,6006.0,B14007_015E,Observed
0500000US25013,"Hampden County, Massachusetts",2023,12,6479.0,B14007_016E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,4,4981.0,B14007_008E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,5,4588.0,B14007_009E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,6,4334.0,B14007_010E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,7,6509.0,B14007_011E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,8,8519.0,B14007_012E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,9,6375.0,B14007_013E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,10,4958.0,B14007_014E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,11,7196.0,B14007_015E,Observed
0500000US25013,"Hampden County, Massachusetts",2024,12,7271.0,B14007_016E,Observed
0500000US25015,"Hampshire County, Massachusetts",2019,4,1389.0,B14007_008E,Observed
0500000US25015,"Hampshire County, Massachusetts",2019,5,1338.0,B14007_009E,Observed
0500000US25015,"Hampshire County, Massachusetts",2019,6,1304.0,B14007_010E,Observed
0500000US25015,"Hampshire County, Massachusetts",2019,7,1544.0,B14007_011E,Observed
0500000US25015,"Hampshire County, Massachusetts",2019,8,1992.0,B14007_012E,Observed
